??    1215.6701000 0.416400  6.265E8  1.00 Unidentified ion!! MUST BE HERE
SiII* 1309.2757000 0.146800  1.142E9   M 91 g
SiII* 1265.0020000 0.100400  2.533E9   M91
SiII* 1264.7380000 0.903400  2.512E9   M91
SiII* 1197.3940000 0.124300  3.495E9   M91
SiII* 1194.5000000 0.623300  3.503E9   M91
SiIII 1206.5000000 1.660000  2.590E9
SiIV  1393.7601775 0.513000  9.200E8 28.0855  862.0
SiIV  1402.7729117 0.254000  9.030E8 28.0855  346.0
P I   1774.9487000 0.154300  2.177E8   30.973762 M 91 g
P II  1532.5330000 0.007610  2.000E8
P II  1301.8740000 0.017250  2.263E7   M91
P II  1152.8180000 0.236100  3.950E8   M91
P II   963.8010000 1.458000  3.490E9   M91
P II   961.0410000 0.348900  8.400E8   M91
P III 1334.8130000 0.025290  5.659E7   M91
P III  998.0000000 0.111700  2.220E9   M91
P III  917.1180000 0.404900  4.792E9   M91
P III  913.9680000 0.203100  4.804E9   M91
P IV   950.6570000 1.710000  2.000E8
P V   1128.0080000 0.245000  2.000E8
P V   1117.9770000 0.495000  2.000E8
S I   1807.3110000 0.112000  2.000E8
S I   1473.9940000 0.078200  2.000E8
S I   1425.0300000 0.181000  2.000E8
S I   1295.6530000 0.108000  2.000E8
S II  1259.5180000 0.015900  2.000E8
S II  1253.8080000 0.010700  2.000E8
S II  1250.5830000 0.005350  2.000E8
S III 1190.2060000 0.022400  2.000E8
S III 1012.5040000 0.035500  2.000E8
S IV  1062.6710000 0.037700  2.000E8
S VI   944.5250000 0.210000  2.000E8
S VI   933.3760000 0.426000  2.000E8
ClI   1347.2396000 0.118600  5.088E8  35.4527 M 91 g
ArI   1066.6600000 0.059400  2.000E8
ArI   1048.2200000 0.230000  2.000E8
CaI   4227.9177000 1.750000  2.000E8
CaI   2722.4500000 0.200000  2.000E8
CaII  3934.7770000 0.688000  2.000E8
CaII  3969.5910000 0.341000  2.000E8
TiII  3384.7300072 0.358000  2.000E8 47.9     396.0
TiII  3242.9179698 0.232000  2.000E8 47.9     541.0
TiII  3230.1216858 0.068700  2.000E8 47.9     673.0
TiII  3073.8629282 0.121000  2.000E8 47.9     677.0
TiII  3067.2374959 0.048900  2.000E8 47.9     791.0
TiII  1910.9380000 0.098000  2.000E8  Wiese ApJ547,1182
TiII  1910.6090000 0.202000  2.000E8  Wiese
TiIII 1298.6970000 0.103000  2.000E8
CrII  2066.1638987 0.051200  2.000E8 51.996   -1360.0 f now from Tripp et al 96.
CrII  2062.2359294 0.075900  2.000E8 51.996   -1280.0 f now from Tripp et al 96.
CrII  2056.2568008 0.103000  2.000E8 51.996   -1110.0 f now from Tripp et al 96.
MnII  2606.4588572 0.198000  2.000E8 54.938   986.0
MnII  2594.4966937 0.280000  2.000E8 54.938   1148.0
MnII  2576.8753423 0.361000  2.000E8 54.938   1420.0
MnII  1201.1180000 0.088090  5.702E8  M91
MnII  1199.3910000 0.105900  4.911E8  M91
MnII  1197.1840000 0.156600  5.670E8  M91
FeI   3720.9930000 0.041300  2.000E8 55.847
