# Ion Label Mass   Omega         e(Omega)  X References                              lambda        e(lambda)  Ground                                   Upper                                            L    IP           f        q    dq   
MgI   2026  24.31  49346.772611  0.000036  1 ----                                    2026.4749792  0.0000015  3\rm{s}^2~^1\rm{S}_0                     3\rm{s}4\rm{p}~^1\rm{P}_1^{\rm{o}}               a_1  ---\,,~7.65   0.113     87     7
----  ----  56     62171.631049  ----      3 PorsevS_09a                             1608.4506440  ----       ----                                     ----                                             ---- ----         91.8     ----  ----
----  ----  54     62171.585779  ----      3 PorsevS_09a                             1608.4518152  ----       ----                                     ----                                             ---- ----          5.8     ----  ----
----  1611  55.85  62065.532     0.003     0 S.~Johansson~(priv.~comm.)              1611.200239   0.000078   ----                                     3\rm{d}^64\rm{p~y}^4\rm{F}_{7/2}^{\rm{o}}        j_2  ----          0.00138  1560  500
----  ----  58     62065.503440  ----      3 PorsevS_09a                             1611.2009805  ----       ----                                     ----                                             ---- ----          0.3     ----  ----
----  ----  57     62065.516819  ----      3 PorsevS_09a                             1611.2006332  ----       ----                                     ----                                             ---- ----          2.1     ----  ----
----  ----  56     62065.530676  ----      3 PorsevS_09a                             1611.2002735  ----       ----                                     ----                                             ---- ----         91.8     ----  ----
----  ----  54     62065.559929  ----      3 PorsevS_09a                             1611.1995141  ----       ----                                     ----                                             ---- ----          5.8     ----  ----
----  2260  55.85  44232.534     0.006     0 AldeniusM_06a                           2260.77936    0.00031    ----                                     3\rm{d}^64\rm{p~z}^4\rm{F}_{9/2}^{\rm{o}}        j_3  ----          0.00244  1435  150
----  2344  55.85  42658.243     0.002     0 AldeniusM_06a                           2344.21282    0.00011    ----                                     3\rm{d}^64\rm{p~z}^6\rm{P}_{7/2}^{\rm{o}}        j_4  ----          0.114    1540  400
----  ----  58     42658.217800  ----      3 PorsevS_09a                             2344.2142020  ----       ----                                     ----                                             ---- ----          0.3     ----  ----
----  ----  57     42658.229605  ----      3 PorsevS_09a                             2344.2135533  ----       ----                                     ----                                             ---- ----          2.1     ----  ----
----  ----  56     42658.241832  ----      3 PorsevS_09a                             2344.2128814  ----       ----                                     ----                                             ---- ----         91.8     ----  ----
----  ----  54     42658.267643  ----      3 PorsevS_09a                             2344.2114630  ----       ----                                     ----                                             ---- ----          5.8     ----  ----
----  2374  55.85  42114.836     0.002     0 AldeniusM_06a                           2374.46015    0.00011    ----                                     3\rm{d}^64\rm{p~z}^6\rm{F}_{9/2}^{\rm{o}}        j_5  ----          0.0313   1660   60
----  ----  58     42114.804727  ----      3 PorsevS_09a                             2374.4619178  ----       ----                                     ----                                             ---- ----          0.3     ----  ----
----  ----  57     42114.819377  ----      3 PorsevS_09a                             2374.4610918  ----       ----                                     ----                                             ---- ----          2.1     ----  ----
----  ----  56     42114.834550  ----      3 PorsevS_09a                             2374.4602364  ----       ----                                     ----                                             ---- ----         91.8     ----  ----
----  ----  54     42114.866583  ----      3 PorsevS_09a                             2374.4584303  ----       ----                                     ----                                             ---- ----          5.8     ----  ----
----  2382  55.85  41968.065     0.002     0 AldeniusM_06a                           2382.76413    0.00011    ----                                     3\rm{d}^64\rm{p~z}^6\rm{F}_{11/2}^{\rm{o}}       j_6  ----          0.320    1550   60
----  ----  58     41968.040382  ----      3 PorsevS_09a                             2382.7655304  ----       ----                                     ----                                             ---- ----          0.3     ----  ----
----  ----  57     41968.051914  ----      3 PorsevS_09a                             2382.7648756  ----       ----                                     ----                                             ---- ----          2.1     ----  ----
----  ----  56     41968.063859  ----      3 PorsevS_09a                             2382.7641975  ----       ----                                     ----                                             ---- ----         91.8     ----  ----
----  ----  54     41968.089075  ----      3 PorsevS_09a                             2382.7627658  ----       ----                                     ----                                             ---- ----          5.8     ----  ----
----  2586  55.85  38660.052     0.002     0 AldeniusM_06a                           2586.64939    0.00013    ----                                     3\rm{d}^64\rm{p~z}^6\rm{D}_{7/2}^{\rm{o}}        j_7  ----          0.0691   1540   40
----  ----  58     38660.025896  ----      3 PorsevS_09a                             2586.6511386  ----       ----                                     ----                                             ---- ----          0.3     ----  ----
----  ----  57     38660.038124  ----      3 PorsevS_09a                             2586.6503204  ----       ----                                     ----                                             ---- ----          2.1     ----  ----
----  ----  56     38660.050790  ----      3 PorsevS_09a                             2586.6494730  ----       ----                                     ----                                             ---- ----         91.8     ----  ----
----  ----  54     38660.077528  ----      3 PorsevS_09a                             2586.6476840  ----       ----                                     ----                                             ---- ----          5.8     ----  ----
